press,hght,temp,dwpt,wdir,wspd
 1000.00,    212.00,  -9999.00,  -9999.00,  -9999.00,  -9999.00
  976.00,    396.00,     -9.90,    -15.90,     40.00,     16.01
  974.00,    412.03,    -10.30,    -18.30,  -9999.00,  -9999.00
  964.00,    492.52,    -11.10,    -18.10,  -9999.00,  -9999.00
  949.47,    610.00,    -12.35,    -18.61,     40.00,     22.01
  925.00,    812.00,    -14.50,    -19.50,     40.00,     23.00
  912.60,    914.00,    -15.44,    -19.85,     45.00,     24.01
  904.00,    985.52,    -16.10,    -20.10,  -9999.00,  -9999.00
  894.00,   1069.58,    -14.50,    -19.00,  -9999.00,  -9999.00
  889.00,   1112.18,    -13.50,    -16.70,  -9999.00,  -9999.00
  885.00,   1146.63,    -11.50,    -13.90,  -9999.00,  -9999.00
  881.00,   1181.51,     -9.50,    -14.10,  -9999.00,  -9999.00
  876.74,   1219.00,     -9.50,    -16.17,     80.00,     25.99
  874.00,   1243.16,     -9.50,    -17.50,  -9999.00,  -9999.00
  861.00,   1359.05,     -9.10,    -17.10,  -9999.00,  -9999.00
  854.00,   1422.43,     -7.50,    -15.50,  -9999.00,  -9999.00
  850.00,   1459.00,     -7.30,    -14.30,     90.00,     22.01
  828.00,   1663.37,     -7.10,    -13.10,  -9999.00,  -9999.00
  810.56,   1829.00,     -7.58,    -12.43,    110.00,     14.01
  792.00,   2009.32,     -8.10,    -11.70,  -9999.00,  -9999.00
  779.41,   2134.00,     -7.82,    -11.91,     75.00,     12.00
  756.00,   2371.27,     -7.30,    -12.30,  -9999.00,  -9999.00
  749.50,   2438.00,     -7.79,    -12.40,     55.00,      4.00
  720.49,   2743.00,    -10.05,    -12.86,     70.00,      4.00
  700.00,   2966.00,    -11.70,    -13.20,     30.00,      2.99
  692.53,   3048.00,    -12.29,    -13.55,      0.00,      0.00
  685.00,   3131.56,    -12.90,    -13.90,  -9999.00,  -9999.00
  680.00,   3187.40,    -13.10,    -16.50,  -9999.00,  -9999.00
  674.00,   3254.88,    -13.30,    -17.70,  -9999.00,  -9999.00
  659.00,   3426.06,    -13.70,    -17.60,  -9999.00,  -9999.00
  652.00,   3507.12,    -14.30,    -20.30,  -9999.00,  -9999.00
  642.00,   3624.02,    -15.50,    -21.50,  -9999.00,  -9999.00
  639.12,   3658.00,    -15.34,    -20.51,    265.00,     14.01
  631.00,   3754.59,    -14.90,    -17.70,  -9999.00,  -9999.00
  613.69,   3962.00,    -16.09,    -18.81,    260.00,     20.01
  589.09,   4267.00,    -17.85,    -20.45,    260.00,     24.01
  542.81,   4877.00,    -21.36,    -23.72,    265.00,     31.99
  531.00,   5040.97,    -22.30,    -24.60,  -9999.00,  -9999.00
  520.84,   5182.00,    -23.33,    -25.72,    270.00,     36.00
  500.00,   5480.00,    -25.50,    -28.10,    270.00,     36.00
  461.00,   6063.79,    -29.70,    -33.40,  -9999.00,  -9999.00
  458.90,   6096.00,    -29.93,    -33.58,    265.00,     36.00
  421.00,   6704.51,    -34.30,    -37.00,  -9999.00,  -9999.00
  400.00,   7060.00,    -37.30,    -40.10,    255.00,     40.00
  385.34,   7315.00,    -39.22,    -42.10,    250.00,     40.00
  368.51,   7620.00,    -41.52,    -44.49,    250.00,     45.01
  363.00,   7722.89,    -42.30,    -45.30,  -9999.00,  -9999.00
  321.00,   8550.03,    -44.30,    -47.50,  -9999.00,  -9999.00
  300.00,   9000.00,    -47.50,    -51.50,    245.00,     90.00
  293.42,   9144.00,    -48.58,    -52.68,    245.00,     93.01
  262.00,   9879.62,    -54.10,    -58.70,  -9999.00,  -9999.00
  256.00,  10028.05,    -53.50,    -58.50,  -9999.00,  -9999.00
  255.00,  10053.13,    -53.60,    -58.60,    240.00,    122.01
  254.81,  10058.00,    -53.62,    -58.62,    240.00,    122.01
  250.00,  10180.00,    -54.10,    -59.10,    240.00,    119.00
  247.00,  10257.56,    -54.70,    -60.70,  -9999.00,  -9999.00
  236.00,  10549.58,    -55.10,    -62.10,  -9999.00,  -9999.00
  225.00,  10854.27,    -56.50,    -63.50,    250.00,    100.99
  212.00,  11235.58,    -53.50,    -62.50,  -9999.00,  -9999.00
  201.00,  11578.05,    -55.10,    -64.10,  -9999.00,  -9999.00
  200.88,  11582.00,    -55.08,    -64.08,    250.00,     67.00
  200.00,  11610.00,    -54.90,    -63.90,    250.00,     67.00
  195.00,  11772.66,    -53.50,    -63.50,  -9999.00,  -9999.00
  192.00,  11873.00,    -51.70,    -62.70,  -9999.00,  -9999.00
  190.00,  11941.11,    -51.30,    -62.30,  -9999.00,  -9999.00
  188.00,  12010.25,    -49.70,    -61.70,  -9999.00,  -9999.00
